row_index,id,school_name,telephone,address,city,state,zip,website,cc_score,avg_ACT,avg_math_SAT,avg_read_SAT,avg_write_SAT,avg_GPA,accept_rate,undergrad_population,graduate_population,region,usn_popular_majors,freshman_retention,student_faculty_ratio,school_type,school_setting,academic_calendar,campus_size,motto,affiliation,athletics,president,mascot,school_color,number_of_students,logo,qs_score,qs_rank,n_popular_majors,median_earn_6_years,graduation_rate,employment_rate,average_aid,application_fee,student_athletic_percentage,application_deadline,application_website,sat_min,sat_max,tuition_fees
280,b6e024bc-7ba9-495d-921f-90b9a536987b,College of Coastal Georgia,912-279-5700,One College Drive,Brunswick,GA,31520,http://www.ccga.edu/,779.56836,19,492,522,N/A,3.09,0.87,3535,0,Southeast,"Business/Commerce, General:Psychology, General:Registered Nursing/Registered Nurse:Biology/Biological Sciences, General:Multi/Interdisciplinary Studies",0.58,19:1,public,city,N/A,193 acres,N/A,Southern States Athletic Conference,N/A,N/A,N/A,Royal Blue and gray,N/A,N/A,N/A,N/A,Liberal Arts and Humanities:Nursing:Business:Psychology:Early Childhood Education:Biology:Public Administration:Middle School Education:Medical Records Administration:Hospitality and Tourism Management,"28,300",0.13,0.86,"5,531",25,0.04,N/A,ccga.edu/page.cfm?p=798&lockssl=true&lockssl=true,810,1010,11014
281,fa9c6b5c-cdaf-4e5d-a409-506ef078ef18,Colorado Mesa University,970-248-1020,1100 North Avenue,Grand Junction,CO,81501-3122,http://www.coloradomesa.edu/,1087.2432,21,520,530,N/A,3.16,0.81,9365,127,Rocky Mountains,"Business/Commerce, General:Registered Nursing/Registered Nurse:Kinesiology and Exercise Science:Criminal Justice/Safety Studies:Biology/Biological Sciences, General",0.74,20:1,public,city,N/A,86 acres,Rumble Mavs!,N/A,National Collegiate Athletic Association,N/A,N/A,"Maroon, White & Gold",10662,N/A,N/A,N/A,Business:Nursing:Liberal Arts and Humanities:Kinesiology and Exercise Science:Nursing Assistant:Emergency Medical Technician (EMT Paramedic):Biology:Criminal Justice and Safety Studies:Psychology:Athletic Training,"36,800",0.33,0.89,"6,092",30,0.09,Rolling Admissions,coloradomesa.edu/admissions/apply.html,960,1190,14309
282,3dc146f6-9101-4fe6-9656-54e9ab26da71,College of DuPage,630-942-2800,425 Fawell Blvd.,Glen Ellyn,IL,60137-6599,http://www.cod.edu/,1137.8418,20,N/A,N/A,N/A,N/A,0.87,23903,0,Great Lakes,N/A,0.76,11:1,private,campus,N/A,55 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
283,4a7fba46-b774-42a9-adbb-d3a649d879b8,College of Menominee Nation,715-799-5600,N172 State Highway 47&55,Keshena,WI,54135,http://www.menominee.edu/,585.3237,N/A,N/A,N/A,N/A,N/A,N/A,634,0,Great Lakes,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Licensed Practical Nurse Training (LPN):Business:Liberal Arts and Humanities:Nursing:Accounting:Kindergarten and Preschool Education:Welding:Electrician:Public Administration:Business Support Services,"20,000",0.15,0.73,"7,265",0,N/A,N/A,empowerweb1.menominee.edu/fusebox.cfm,0,0,6452
284,c6c71372-1c47-4957-8e2d-961264627504,College of Mount Saint Vincent,718-405-3200,6301 Riverdale Ave,Riverdale,NY,10471-1093,http://www.mountsaintvincent.edu/,874.5324,N/A,N/A,N/A,N/A,3.09,0.92,1850,210,Mid East,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Psychology:Biological and Biomedical Sciences:Social Sciences",0.77,12:1,private,campus,N/A,70 acres,"""In Tuo Lumine Videbimus Lumen"" (Latin):In Thy Light We Shall See Light",Council of Independent Colleges,National Collegiate Athletic Association,N/A,"Fear, The Golden Knight","White,Black,Gold",4863,N/A,N/A,N/A,Nursing:Business:Psychology:Communications:Sociology:Biology:Liberal Arts and Humanities:English:History:Science Teacher Education,"70,000",0.54,0.65,"25,094",35,0.14,N/A,apply.cmsvadmission.org/?utm_medium=univeristyweb&utm_campaign=onlineapp&utm_source=cmsv&utm_term=fa16,880,1060,17534
285,4ceed6ef-7ca2-4804-bf01-381bf14e2bb6,Colorado Christian University,303-963-3000,8787 West Alameda Avenue,Lakewood,CO,80226,http://www.ccu.edu/,871.4159,N/A,N/A,N/A,N/A,3.68,0.62,1343,564,Rocky Mountains,"Psychology, General:Business Administration and Management, General:Bible/Biblical Studies:Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing:Health and Medical Administrative Services",0.79,13:1,private,semester,N/A,N/A,(Grace and Truth):χαρις  και  αληθεια,Interdenominational:Council for Christian Colleges and Universities,National Collegiate Athletic Association,Donald W. Sweeting,Cougars,Navy Blue&Gold,7379,N/A,N/A,N/A,Business:Psychology:Nursing:Biblical Studies:Communications:Organizational Behavior Studies:Healthcare Management:Liberal Arts and Humanities:Accounting:Elementary Education,"39,300",0.5,0.87,"17,078",30,0.13,Rolling Admissions,ccu.edu/apply,0,0,25198
286,45699b13-0689-49b9-9e24-7a59bb0b0c30,College of Alameda,510-522-7221,555 Ralph Appezzato Memorial Pky,Alameda,CA,94501-2109,http://alameda.peralta.edu/,671.65466,N/A,N/A,N/A,N/A,N/A,N/A,7302,0,Far West,"Biology/Biological Sciences, General:History, General:English Language and Literature, General:Psychology, General:Political Science and Government, General",0.87,10:1,private,city,N/A,240 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
287,1038e7b8-e409-4430-a6f4-abb943e8e310,Colorado School of Mines,303-273-3000,1500 Illinois St,Golden,CO,80401-1887,http://www.mines.edu/,927.53094,31,705,664,609,3.78,0.53,5154,1451,Rocky Mountains,Engineering:Computer and Information Sciences and Support Services:Mathematics and Statistics:Physical Sciences:Social Sciences,0.92,15:1,public,campus,N/A,500 acres,Invented by the imagination:Nil sine numine (Latin),N/A,N/A,N/A,Marvin the Miner,Blue & Silver,5794,N/A,N/A,N/A,Mechanical Engineering:Mining and Petroleum Engineering:Engineering:Chemical Engineering:Electrical Engineering:Computer Science:Bioengineering and Biomedical Engineering:Materials Engineering:Engineering Physics:Civil Engineering,"84,900",0.78,0.95,"10,725",45,0.11,May 1,mines.edu/admissions,1310,1450,25472
288,58036153-58a7-4871-8b92-a0485309112c,Colorado State University,970-491-1101,102 Administration Building,Fort Collins,CO,80523,http://www.colostate.edu/,1462.7827,26,589,597,549,3.69,0.81,26559,7437,Rocky Mountains,"Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Engineering:Social Sciences:Parks, Recreation, Leisure, and Fitness Studies",0.85,14:1,public,city,N/A,N/A,N/A,N/A,N/A,Anthony A. Frank,CAM the Ram,Green and Gold,33198,https://www.topuniversities.com/sites/default/files/colorado-state-university_136_small.jpg,N/A,191-200,Business:Kinesiology and Exercise Science:Human Development:Psychology:Mechanical Engineering:Communications:Biology:Sociology:Construction Engineering Technician:Economics,"47,100",0.69,0.94,"8,221",50,0.02,May 1,admissions.colostate.edu/onlineapplication,1100,1300,17191
289,9f1dbbd9-dc1b-411e-a8a0-6abd15a185e7,Colorado Technical University Online,N/A,"4435 N Chestnut, Suite E",Colorado Springs,CO,80907,www.coloradotech.edu/CTU-Online,508.8259,N/A,N/A,N/A,N/A,N/A,N/A,23094,2703,Rocky Mountains,N/A,0.43,N/A,institution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
290,c8e1fc70-0e91-4d9e-b803-47af1cfd9e3f,College of Saint Mary,402-399-2400,7000 Mercy Rd.,Omaha,NE,68106,http://www.csm.edu/,822.7338,22,N/A,N/A,N/A,3.5,0.52,861,307,Plains,N/A,0.76,10:1,private,campus,N/A,40 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Rehabilitation and Therapy:Biology:Nursing Assistant:Nursing:Liberal Arts and Humanities:Business:Elementary Education:Linguistics, Interpretation, and Translation:Paralegal:Psychology","41,200",0.48,0.93,"21,218",30,N/A,N/A,selfservice.csm.edu/selfservice/admissions/applicationselectenabledform.aspx,0,0,19404
291,38f05b20-8dd5-4d92-bdf7-bf1340cccf30,Colorado State University-Pueblo,719-549-2100,2200 Bonforte Blvd,Pueblo,CO,81001-4901,http://www.csupueblo.edu/,914.5813,21,510,520,N/A,3.28,0.95,4385,2351,Rocky Mountains,"Registered Nursing/Registered Nurse:Business/Commerce, General:Social Work:Sociology:Psychology, General",0.65,15:1,public,city,N/A,279 acres,N/A,N/A,National Collegiate Athletic Association,N/A,Wolfie (Costume),Blue & Red,N/A,N/A,N/A,N/A,Nursing:Business:Sociology:Kinesiology and Exercise Science:Communications:Psychology:Social Work and Youth Services:Biology:Information Science:History,"37,500",0.35,0.88,"6,950",25,0.15,Rolling Admissions,csupueblo.edu/admissions/apply-now.html,930,1130,14988
292,881e33e2-19ab-4654-8dab-fc69e54b7ded,College of St. Joseph,802-773-5900,71 Clement Road,Rutland,VT,05701-3899,http://www.csj.edu/,805.46765,19,418,423,440,2.8,0.69,237,140,New England,"Business Administration and Management, General:Adult and Continuing Education and Teaching:Registered Nursing/Registered Nurse:Animal Sciences, General:Psychology, General",0.76,15:1,private,campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
293,70e74488-2388-4d40-8435-ee0e255797f1,Columbia Basin College,509-547-0511,2600 N 20th Ave,Pasco,WA,99301-3397,http://www.columbiabasin.edu/,783.88495,N/A,N/A,N/A,N/A,N/A,N/A,6978,0,Far West,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,2689c2f4-5421-43c7-a7c9-213c81e84ee9,College of Southern Nevada,702-651-5000,6375 W. Charleston Blvd.,Las Vegas,NV,89146,http://www.csn.edu/,1159.4246,N/A,N/A,N/A,N/A,N/A,N/A,33313,N/A,Far West,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,Scenic West Athletic Conference:NWCCU,N/A,N/A,N/A,Navy and Gold,N/A,N/A,N/A,N/A,Liberal Arts and Humanities:Nursing Assistant:Lab Technician:Business:Emergency Medical Technician (EMT Paramedic):Police and Criminal Science:Nursing:Criminal Justice and Safety Studies:Psychology:Hospitality and Tourism Management,"32,300",0.09,0.82,"3,900",20,0.01,N/A,csn.edu/admission-application,0,0,7488
295,166e10fe-d08e-4964-9fcb-75b781e699a2,College of Saint Benedict,320-363-5011,37 S. College Ave.,Saint Joseph,MN,56374,http://www.csbsju.edu/,896.1151,25,550,560,520,3.57,0.8,1748,0,Plains,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Public Administration and Social Service Professions:Psychology",0.81,14:1,private,campus,N/A,186 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Biology:Rhetoric and Composition:Psychology:Nursing:Elementary Education:Foods, Nutrition, and Wellness Studies:Business:Accounting:English:Political Science and Government","52,600",0.82,0.97,"28,210",0,N/A,Rolling Admissions,csbsju.edu/admission/apply,1010,1220,26912
296,3a0eaca7-6767-4180-bb8c-9e4f1a6bf179,College of the Atlantic,207-288-5015,105 Eden Street,Bar Harbor,ME,04609-1198,http://www.coa.edu/,745.03595,29,589,670,591,3.58,0.72,355,5,New England,N/A,0.8,10:1,private,campus,N/A,37 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberal Arts and Humanities,"24,600",0.66,0.9,"37,756",50,N/A,February 15,coa.edu/apply.htm,0,0,17213
297,769bcc4c-05bf-409c-8ab9-5a6835334cbb,College of the Ouachitas,501-337-5000,One College Circle,Malvern,AR,72104,http://www.coto.edu/,779.56836,N/A,N/A,N/A,N/A,N/A,N/A,1272,0,Southeast,"Economics, General:Psychology, General:Political Science and Government, General:English Language and Literature, General:Biology/Biological Sciences, General",0.95,10:1,private,campus,N/A,174 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
298,0040577c-f4fc-4525-82ab-92c974a38643,The College of Westchester,914-559-2398,325 Central Ave,White Plains,NY,10606,http://www.cw.edu/,637.1223,N/A,N/A,N/A,N/A,N/A,0.97,906,0,Mid East,N/A,0.64,N/A,institution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Business:Medical Assistant:Healthcare Management:Medical Records Technician:Web Page and Digital Design:Accounting:Accounting Technician and Bookkeeping:Network, Database, and System Administration","37,400",0.48,0.86,"11,011",40,N/A,N/A,success.cw.edu/forms/info/app/cwapponline.aspx,0,0,17303
299,e7a64e62-05ee-4350-94b6-83275a6cbcf8,Columbia College Chicago,312-663-1600,600 South Michigan,Chicago,IL,60605-1996,http://www.colum.edu/,1016.97845,24,525,554,N/A,3.39,0.9,6708,239,Great Lakes,Cinematography and Film/Video Production:Graphic Design:Music Management:Recording Arts Technology/Technician:Retail Management,0.69,14:1,private,semester,N/A,N/A,"To be, rather than to seem:Esse Quam Videri",N/A,N/A,N/A,N/A,N/A,9442,N/A,N/A,N/A,Cinematography and Video Production:Retail Management:Graphic Design:Music Management:Radio and Television:Creative Writing:Recording Arts Technician:Photography:Music History and Literature:Drama and Theatre Production,"34,400",0.44,0.92,"10,255",50,N/A,N/A,colum.edu/apply,0,0,31484
300,4ac713a8-6faa-4930-b701-51c6a7a1b9e3,Columbia College MO,573-875-8700,1001 Rogers Street,Columbia,MO,65216-0002,http://www.ccis.edu/,939.28064,21,505,496,N/A,3.56,0.48,1023,129,Plains,N/A,0.63,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,60be9b59-e6b8-4414-afb7-16aa615ea09f,Community College of Denver,303-556-2600,1111 W. Colfax Ave.,Denver,CO,80217-3363,http://www.ccd.edu/,767.8187,N/A,N/A,N/A,N/A,N/A,1,8232,0,Rocky Mountains,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,85ed8f6c-5de5-4c54-b92a-586a06662ba8,Columbia College of Nursing,414-326-2330,4425 N Port Washington Rd,Glendale,WI,53212,http://www.ccon.edu/,464.46045,N/A,N/A,N/A,N/A,2.9,N/A,169,0,Great Lakes,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,760030cf-b852-4e7a-8df7-24b66e38b3e7,Columbus College of Art & Design,614-224-9101,60 Cleveland Ave.,Columbus,OH,43215-1758,http://www.ccad.edu/,753.66907,N/A,N/A,N/A,N/A,N/A,0.79,1060,35,Great Lakes,N/A,N/A,N/A,private,N/A,N/A,17 acres,Think. Do. Reflect.,Association of Independent Colleges of Art and Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Commercial and Advertising Art:Illustration:Animation, Video Graphics and Special Effects:Fine Arts:Photography:Fashion and Apparel Design:Industrial and Product Design:Cinematography and Video Production:Interior Design:Art History","32,200",0.61,0.92,"18,943",50,N/A,Rolling Admissions,ccad.edu/admissions/apply-ccad,980,1200,25397
304,93b54d35-b994-46ee-b651-3838c209ae75,Columbia International University,803-754-4100,7435 Monticello Rd,Columbia,SC,29203,http://www.ciu.edu/,900.4317,22,505,530,N/A,3.32,0.48,621,839,Southeast,"Theology and Religious Vocations:Liberal Arts and Sciences, General Studies and Humanities:Psychology:Business, Management, Marketing, and Related Support Services:Education",0.76,14:1,private,campus,N/A,400 acres,To know Him and to make Him known.,Nondenominational Christianity,N/A,N/A,Rams,Blue and Gold,1250,N/A,N/A,N/A,"Biblical Studies:Non-Profit and Public Management:Liberal Arts and Humanities:Elementary Education:Psychology:Communications:Religious Vocations:Divinity, Ministry, and Pre-Theology:International Studies:English","29,900",0.67,0.86,"15,082",25,0.23,N/A,ciu.edu/apply,840,1070,18476
305,92d5a875-8431-4bfd-8baf-bfb061e6181b,Columbia University,212-854-1754,West 116 St and Broadway,New York,NY,10027,http://www.columbia.edu/,1625.6116,N/A,N/A,N/A,N/A,N/A,0.05,6298,19984,Mid East,Social Sciences:Engineering:Computer and Information Sciences and Support Services:Biological and Biomedical Sciences:Visual and Performing Arts,0.99,6:1,private,campus,N/A,36 acres,In Thy light shall we see light (Psalms36:9):In lumine Tuo videbimus lumen (Latin),568 Group:Association of American Universities:National Association of Independent Colleges and Universities:Universities Research Association,Middle Atlantic Intercollegiate Sailing Association:Eastern Association of Rowing Colleges:National Collegiate Athletic Association,Lee Bollinger,Columbia Lions,Columbia blueand white,27942,https://www.topuniversities.com/sites/default/files/columbia-university_138_small_0.jpg,79,5,Economics:Computer Science:Political Science and Government:Research and Experimental Psychology:History:Biology:Engineering:English:Philosophy:Mathematics,"83,300",0.95,0.89,"49,185",85,0.1,N/A,admissions.columbia.edu,1410,1570,22824
306,43bbc064-a890-4f43-9ba4-f14612447dd0,Columbus State University,706-568-2001,4225 University Ave,Columbus,GA,31907-5645,http://www.columbusstate.edu/,1073.0936,21,480,505,0,3.14,0.56,6640,1436,Southeast,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Visual and Performing Arts:Computer and Information Sciences and Support Services:Communication, Journalism, and Related Programs",0.74,16:1,public,city,N/A,132 acres,N/A,N/A,NCAA Division II,N/A,Cody Cougar,Blue and Red,8307,N/A,N/A,N/A,Criminal Justice and Safety Studies:Nursing:Communications:Business:Health Service Preparatory Studies:Sociology:Biology:Psychology:Liberal Arts and Humanities:Accounting,"35,900",0.33,0.91,"7,711",40,0.05,June 30,admissions.columbusstate.edu/index.php,870,1070,11334
307,9961ed79-abfb-46fa-b385-80bfcc934a57,Conception Seminary College,660-944-3105,37174 State Hwy V V,Conception,MO,64433,http://www.conception.edu/,615.5396,N/A,N/A,N/A,N/A,N/A,N/A,67,0,Plains,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
308,40faebed-0a01-49c6-9851-7837744de3cf,Concordia University Irvine,949-854-8002,1530 Concordia West,Irvine,CA,92612-3299,http://www.cui.edu/,926.331,22,554,549,513,3.49,0.71,1738,2173,Far West,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Liberal Arts and Sciences, General Studies and Humanities:Psychology:Multi/Interdisciplinary Studies",0.76,16:1,private,campus,N/A,70 acres,"Developing Wise, Honorable, and Cultivating Citizens.",Lutheran Church—Missouri Synod,N/A,N/A,Eagles,GreenandGold,N/A,N/A,N/A,N/A,Nursing:Business:Liberal Arts and Humanities:Psychology:Physical Education Teaching and Coaching:Communications:Biology:English:Behavioral Sciences:History,"46,400",0.65,0.92,"21,853",0,0.25,Rolling Admissions,cui.edu/en-us/apply,1010,1200,25094
309,3885baaf-0413-4df2-a1a1-5c60e6667516,Columbia College SC,803-786-3012,1301 Columbia College Dr,Columbia,SC,29203-5998,http://www.columbiasc.edu/,904.7482,18,463,493,474,3.54,0.97,1102,141,Southeast,"Criminal Justice/Safety Studies:Crisis/Emergency/Disaster Management:Business Administration and Management, General:Biology/Biological Sciences, General:Psychology, General",0.7,11:1,private,campus,N/A,53 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
310,70edd4e8-1eed-438f-9c1a-1c25f8d00d24,Concordia College-New York,914-337-9300,171 White Plains Rd,Bronxville,NY,10708-1998,http://www.concordia-ny.edu/,848.6332,21,520,530,510,3.17,0.78,1239,358,Mid East,"Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Education:Visual and Performing Arts:Multi/Interdisciplinary Studies",0.83,11:1,private,campus,N/A,113 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Business:Nursing:Social Science Research Methods:Social Work and Youth Services:Liberal Arts and Humanities:Biology:Radiologic Technician:Psychology:Healthcare Management:Education,"48,000",0.46,0.89,"23,055",60,0.16,N/A,commonapp.org/how-apply,930,1140,18251
311,319fdc42-d0a0-4bb8-8dc6-b23ec243cf41,Concordia University Chicago,708-771-8300,7400 Augusta,River Forest,IL,60305-1499,http://www.cuchicago.edu/,1155.1079,23,550,545,N/A,3.1,0.75,1515,4617,Great Lakes,"Business, Management, Marketing, and Related Support Services:Education:Health Professions and Related Programs:Parks, Recreation, Leisure, and Fitness Studies:Visual and Performing Arts",0.67,12:1,private,campus,N/A,40 acres,N/A,Northern Athletics Conference:Concordia University System:Lutheran Church–Missouri Synod,N/A,N/A,Charlie T. Cougar,Maroon and Gold,5286,N/A,N/A,N/A,Organizational Behavior Studies:Psychology:Elementary Education:Kinesiology and Exercise Science:Healthcare Management:Business:Human Resources:Sport and Fitness Management:Biology:Education,"39,700",0.48,0.95,"21,177",0,0.28,Rolling Admissions,N/A,990,1160,17846
312,cfa81967-291b-49f1-8bd0-426c8a575a48,"Concordia University, Nebraska",402-643-3651,800 N Columbia Ave,Seward,NE,68434,http://www.cune.edu/,1100.1929,23,487,517,N/A,3.52,0.75,1684,836,Plains,"Education:Business, Management, Marketing, and Related Support Services:Theology and Religious Vocations:Biological and Biomedical Sciences:Psychology",0.76,14:1,private,campus,N/A,120 acres,N/A,National Association of Intercollegiate Athletics:Great Plains Athletic Conference:Lutheran Church-Missouri Synod,N/A,N/A,Bulldogs,NavyandWhite,2300,N/A,N/A,N/A,"Business:Biology:Elementary Education:Psychology:High School Education:Behavioral Sciences:Kinesiology and Exercise Science:Theological and Ministerial Studies:Divinity, Ministry, and Pre-Theology:Education","40,100",0.66,0.95,"19,402",0,0.51,N/A,cune.edu/application,920,1100,20250
313,74c3bb9f-657f-4eb9-88bf-af37e46fcc83,Concordia University Texas,512-313-3000,11400 Concordia University Dr.,Austin,TX,78726,http://www.concordia.edu/,835.68353,N/A,N/A,N/A,N/A,3.3,0.83,1567,937,Southwest,N/A,0.61,N/A,private,campus,N/A,389 acres,"""With God we shall do valiantly""",Concordia University System:National Association of Independent Colleges and Universities,National Collegiate Athletic Association,N/A,Tornadoes,Purple and gold,2565,N/A,N/A,N/A,Business:Nursing:Physical Education Teaching and Coaching:Elementary Education:Biology:Religious Education:Social Sciences:Human Resources:Communications:Healthcare Management,"44,500",0.35,0.93,"18,614",25,0.19,N/A,concordia.edu/admissions/apply.html,960,1140,23578
314,7674dd0d-ecd8-4ba6-9a27-3a4dfe577ef5,Connecticut College,860-447-1911,270 Mohegan Avenue,New London,CT,6320,http://www.conncoll.edu/,970.6965,30,680,678,663,N/A,0.38,1844,0,New England,"Economics, General:Psychology, General:Political Science and Government, General:Biology/Biological Sciences, General:International Relations and Affairs",0.9,9:1,private,city,N/A,750 acres,"Tanquam lignum quod plantatum est secus decursus aquarum:""Like a tree planted by rivers of water"" (that bringeth forth its fruit in its season. – Psalm 1:3)",Collegiate Water Polo Association:New England Small College Athletic Conference,NCAA Division III,N/A,Camel,Blue and White,N/A,N/A,N/A,N/A,Economics:Psychology:Neuroscience and Neurobiology:Computer Science:Political Science and Government:Biology:International Relations:English:History:Mathematics,"54,900",0.85,0.93,"39,603",0,0.3,January 1,conncoll.edu/admission/apply,1270,1460,27397
315,0990cc67-bf66-4501-92d1-9b5e5ff88c28,Converse College,864-596-9000,580 E Main St,Spartanburg,SC,29302,http://www.converse.edu/,982.44604,N/A,N/A,N/A,N/A,3.97,0.6,870,449,Southeast,N/A,0.71,N/A,private,campus,N/A,70 acres,N/A,Conference Carolinas,N/A,N/A,Valkyries,Purple and Gold,1389,N/A,N/A,N/A,Psychology:Biology:Business:Arts:History:Rehabilitation and Therapy:Spanish Language and Literature:Elementary Education:English:Interior Design,"33,900",0.72,0.89,"12,497",0,N/A,N/A,my.converse.edu/ics/admissions/undergraduate.jnz,970,1160,19245
316,7ac929e7-ecdc-4615-8fb2-c96be39b6e17,Cooper Union for the Advancement of Science and Art,212-353-4100,7 East 7th Street,New York,NY,10003-7120,http://www.cooper.edu/,788.2015,31,710,683,646,3.75,0.13,867,74,Mid East,"Fine/Studio Arts, General:Electrical and Electronics Engineering:Mechanical Engineering:Civil Engineering, General:Chemical Engineering",0.94,8:1,private,City,N/A,N/A,N/A,ABET:AICAD,N/A,N/A,N/A,Maroon and Gold,900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
317,f97baab6-6741-48c9-9a3a-d85d512ddeb6,"Concordia University, St. Paul",651-641-8278,1282 Concordia Ave,St. Paul,MN,55104-5494,http://www.csp.edu/,1012.6619,21,N/A,N/A,N/A,3.17,0.98,3127,2012,Plains,"Business Administration and Management, General:Kinesiology and Exercise Science:Nursing Practice:Marketing/Marketing Management, General:Psychology, General",0.69,18:1,private,campus,N/A,37 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Business:Kinesiology and Exercise Science:Psychology:Child Development:Criminal Justice and Safety Studies:Marketing:Accounting:Nursing Science, Education, and Practice:Elementary Education:Healthcare Management","49,200",0.55,0.94,"12,167",30,0.26,N/A,csp.edu/apply-now,920,1110,19714
318,6d4952b2-07e6-41d6-b779-7bb6cb6fe4e1,Concord University,304-384-3115,1000 Vermillion Street,Athens,WV,24712-1000,http://www.concord.edu/,887.48206,20,496,514,N/A,3.4,0.82,1570,316,Southeast,"Liberal Arts and Sciences, General Studies and Humanities:Business, Management, Marketing, and Related Support Services:Education:Public Administration and Social Service Professions:Biological and Biomedical Sciences",0.63,14:1,public,campus,N/A,123 acres,N/A,North Central Association of Colleges and Schools,N/A,N/A,N/A,maroon and gray,N/A,N/A,N/A,N/A,Liberal Arts and Humanities:Business:Elementary Education:Biology:High School Education:Social Work and Youth Services:Marketing:Journalism:History:Sociology,"32,300",0.35,0.9,"6,690",0,0.18,N/A,concord.edu/admissions/apply,930,1110,9000
319,8d61c88f-23b6-4b98-9b88-6b3dafbf807b,Coppin State University,410-951-3000,2500 West North Avenue,Baltimore,MD,21216-3698,http://www.coppin.edu/,922.01447,N/A,429,434,N/A,2.62,0.54,2362,376,Mid East,N/A,0.64,N/A,public,N/A,N/A,N/A,Nurturing Potential... Transforming Lives,N/A,N/A,N/A,N/A,Blue and Gold,3500,N/A,N/A,N/A,Nursing:Psychology:Criminal Justice and Safety Studies:Social Work and Youth Services:Early Childhood Education:Medical Records Administration:Liberal Arts and Humanities:Business:Sport and Fitness Management:Biology,"38,100",0.24,0.91,"9,290",50,0.08,N/A,coppin.edu/apply,850,1010,8685
